Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,Date
180,,  7d 15:05:28.05,-4.499885557336,2.4999618524450002,1.37649,1.3715345119990001,1.047325299261,4.911754959801,0,0,43610.370262963
181,,  7d 15:58:33.60,-4.499961852445,2.4999618524450002,1.37077,1.368909467564,1.098124737904,4.8972719279509995,0,0,43610.407144097204
182,,  7d 16:51:44.32,-4.499809262226,2.4999618524450002,1.3707,1.376897001365,1.075985762957,4.9400102146350005,0,0,43610.4440854398
183,,  7d 17:44:46.43,-4.499885557336,2.499809262226,1.3769999999999998,1.3773220438870002,1.054469855062,4.9417368548519995,0,0,43610.4809263194
184,,  7d 18:37:14.35,-4.499885557336,2.499809262226,1.3768200000000002,1.37237200028,1.043230995938,4.912714165407,0,0,43610.5173721181
185,,  7d 19:30:08.18,-4.500038147555,2.499809262226,1.37409,1.377734529208,1.058987011577,4.944346474756,0,0,43610.554117962994
186,,  7d 20:22:47.80,-4.500038147555,2.4999618524450002,1.37684,1.374109494178,1.045288561373,4.920033209562,0,0,43610.5906989699
187,,  7d 21:15:34.40,-4.500114442664,2.499809262226,1.3743299999999998,1.3742595007760001,1.056618800519,4.921134716693,0,0,43610.6273605324
188,,  7d 22:08:14.16,-4.499961852445,2.4999618524450002,1.37406,1.373372021994,1.0549564029979999,4.919914756630001,0,0,43610.6639433449
189,,  7d 23:01:43.17,-4.500190737774,2.499656672007,1.37332,1.375134508008,1.063396028893,4.927500729784,0,0,43610.7010958912
190,,  7d 23:54:10.94,-4.499961852445,2.4999618524450002,1.3762,1.368034541051,1.041582181917,4.898670303669,0,0,43610.7375400347
191,,  8d 00:46:42.30,-4.499809262226,2.499809262226,1.3679899999999998,1.375284492476,1.051938660392,4.932466460514,0,0,43610.7740253356
