Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
42,,  2d 13:40:28.35,-4.4997329671170005,2.499809262226,1.41052,1.409922033574,1.114224819598,5.075351864031,0,0,36.600421905518,27.68323135376,27.68323135376,36.908786773681996,27.68323135376,36.308284759521,27.649971008301,36.308284759521,43625.0114616782
43,,  2d 14:34:30.12,-4.500038147555,2.4999618524450002,1.41046,1.409722038371,1.110768156163,5.074459329449,0,0,36.551731109619006,27.716489791870004,27.699859619141,36.86009979248,27.699859619141,36.308284759521,27.68323135376,36.308284759521,43625.048993553195
44,,  2d 15:28:29.89,-4.499656672007,2.4999618524450002,1.41006,1.409322039892,1.108333967112,5.072736804635,0,0,36.535499572754,27.649971008301,27.649971008301,36.86009979248,27.633342742920004,36.259593963623,27.61671257019,36.259593963623,43625.0865021065
45,,  2d 16:22:28.92,-4.499961852445,2.499809262226,1.4096600000000001,1.409021999145,1.1101503344419998,5.0716305205309995,0,0,36.519271850586,27.699859619141,27.699859619141,36.82763671875,27.68323135376,36.292053222656,27.666601181029996,36.292053222656,43625.1240021644
46,,  2d 17:16:25.03,-4.500190737774,2.499656672007,1.40941,1.408709540454,1.1086529088850001,5.070307656675,0,0,36.551731109619006,27.716489791870004,27.716489791870004,36.843868255615,27.716489791870004,36.356971740723,27.699859619141,36.356971740723,43625.1614685764
47,,  2d 18:10:21.01,-4.500114442664,2.499809262226,1.4091,1.408534533961,1.109076842763,5.0697412095429994,0,0,36.632877349854,27.68323135376,27.68323135376,36.876327514648,27.68323135376,36.373203277588,27.666601181029996,36.373203277588,43625.1989333565
48,,  2d 19:04:18.71,-4.500114442664,2.499809262226,1.40889,1.408221984213,1.107657147932,5.068455543479,0,0,36.665340423584,27.716489791870004,27.716489791870004,36.941246032715,27.716489791870004,36.340740203857,27.699859619141,36.340740203857,43625.236418217595
49,,  2d 19:58:11.79,-4.500038147555,2.499809262226,1.4085,1.4079845759290002,1.105774603286,5.067576874311,0,0,36.632877349854,27.749748229979996,27.749748229979996,36.82763671875,27.716489791870004,36.389430999755994,27.716489791870004,36.389430999755994,43625.2738493519
50,,  2d 20:52:00.18,-4.500038147555,2.4999618524450002,1.40829,1.4076595360820001,1.104772123876,5.0661254783939995,0,0,36.632877349854,27.666601181029996,27.666601181029996,36.86009979248,27.666601181029996,36.389430999755994,27.649971008301,36.389430999755994,43625.3112262384
51,,  2d 21:45:50.21,-4.499809262226,2.4999618524450002,1.40814,1.407572051503,1.104733471145,5.065732323754,0,0,36.714031219482,27.699859619141,27.699859619141,36.925018310546996,27.68323135376,36.340740203857,27.666601181029996,36.340740203857,43625.3486224768
52,,  2d 22:39:40.54,-4.499885557336,2.499809262226,1.40808,1.4077220272220001,1.104859680371,5.066041316091,0,0,36.632877349854,27.68323135376,27.68323135376,36.908786773681996,27.666601181029996,36.45435333252,27.666601181029996,36.45435333252,43625.3860215972
53,,  2d 23:33:27.35,-4.4997329671170005,2.499809262226,1.4079899999999999,1.407184529142,1.101427041358,5.064269166137,0,0,36.697799682617,27.84952545166,27.84952545166,37.071086883545,27.84952545166,36.438121795654,27.799636840820003,36.438121795654,43625.4233802199
54,,  3d 00:27:11.29,-4.500114442664,2.499809262226,1.40756,1.406834541257,1.100172736053,5.062908751975,0,0,36.697799682617,27.832899093628,27.832899093628,37.071086883545,27.799636840820003,36.470581054688,27.783008575439,36.470581054688,43625.4607059144
55,,  3d 01:20:54.95,-4.500038147555,2.499809262226,1.4071599999999995,1.406597058234,1.100140885161,5.061904323118,0,0,36.762718200684,27.799636840820003,27.799636840820003,36.973705291748,27.783008575439,36.373203277588,27.76637840271,36.373203277588,43625.4980279977
